Year,Condition,Time
2019,Naming_Int,8.84
2019,Naming_Int,8.83
2019,Naming_Int,9.51
2019,Naming_Int,9.24
2019,Naming_Int,12.33
2019,Naming_Int,9.82
2019,Naming_Int,8.61
2019,Naming_Int,9.55
2019,Naming_Int,8.91
2019,Naming_Int,12.44
2019,Naming_Int,8.86
2019,Naming_Int,9.16
2019,Naming_Int,9.84
2019,Naming_Int,5.43
2019,Naming_Int,8.3
2019,Naming_Int,8.35
2020,Naming_Int,8.73
2020,Naming_Int,7.28
2020,Naming_Int,6.84
2020,Naming_Int,7.17
2020,Naming_Int,9.89
2020,Naming_Int,11.56
2020,Naming_Int,8.35
2020,Naming_Int,7.3
2020,Naming_Int,8.8
2020,Naming_Int,8.1
2020,Naming_Int,12.3
2020,Naming_Int,6.79
2020,Naming_Int,7.3
2020,Naming_Int,6.9
2020,Naming_Int,14.12
2020,Naming_Int,10.37
2020,Naming_Int,10.72
2020,Naming_Int,10.37
2020,Naming_Int,9.71
2020,Naming_Int,11.95
2020,Naming_Int,22.66
2020,Naming_Int,9.64
2020,Naming_Int,7.4
2020,Naming_Int,9.53
2021,Naming_Int,11.32
2021,Naming_Int,7.94
2021,Naming_Int,6.5
2021,Naming_Int,7.66
2021,Naming_Int,10.01
2021,Naming_Int,11.2
2021,Naming_Int,8.02
2021,Naming_Int,8.76
2021,Naming_Int,10.33
2021,Naming_Int,11.16
2021,Naming_Int,10.86
2021,Naming_Int,11.14
2021,Naming_Int,17.55
2021,Naming_Int,12.45
2021,Naming_Int,10.13
2021,Naming_Int,11.64
2021,Naming_Int,10.36
2021,Naming_Int,6.88
2021,Naming_Int,11.2
2021,Naming_Int,8.83
2021,Naming_Int,8.92
2021,Naming_Int,9.69
2021,Naming_Int,8.06
2021,Naming_Int,10.58
2021,Naming_Int,21.79
2021,Naming_Int,6.82
2021,Naming_Int,7.08
2021,Naming_Int,9.66
2021,Naming_Int,7.52
2021,Naming_Int,8.81
2021,Naming_Int,10.4
2015,Naming_NoInt,4.45
2015,Naming_NoInt,4.78
2015,Naming_NoInt,4
2015,Naming_NoInt,4.6
2015,Naming_NoInt,6.83
2015,Naming_NoInt,5.78
2015,Naming_NoInt,6.22
2015,Naming_NoInt,5.5
2015,Naming_NoInt,5.04
2015,Naming_NoInt,4.16
2015,Naming_NoInt,5.34
2015,Naming_NoInt,5.22
2015,Naming_NoInt,3.69
2015,Naming_NoInt,6.12
2016,Naming_NoInt,5.33
2016,Naming_NoInt,4.46
2016,Naming_NoInt,6.09
2016,Naming_NoInt,4.81
2016,Naming_NoInt,4.6
2016,Naming_NoInt,3.63
2016,Naming_NoInt,4.21
2016,Naming_NoInt,6.12
2016,Naming_NoInt,5.08
2016,Naming_NoInt,6.1
2016,Naming_NoInt,5.95
2016,Naming_NoInt,4.46
2016,Naming_NoInt,7.26
2016,Naming_NoInt,5.65
2016,Naming_NoInt,5.7
2016,Naming_NoInt,5.73
2016,Naming_NoInt,5.8
2016,Naming_NoInt,4.8
2016,Naming_NoInt,5.9
2016,Naming_NoInt,8
2016,Naming_NoInt,6.9
2016,Naming_NoInt,5.68
2016,Naming_NoInt,5.71
2016,Naming_NoInt,7.23
2016,Naming_NoInt,5.47
2016,Naming_NoInt,6.63
2016,Naming_NoInt,4.9
2016,Naming_NoInt,5.41
2016,Naming_NoInt,5.57
2016,Naming_NoInt,4.36
2016,Naming_NoInt,4.86
2016,Naming_NoInt,5.13
2016,Naming_NoInt,5.06
2016,Naming_NoInt,4.48
2016,Naming_NoInt,4.66
2016,Naming_NoInt,5.4
2016,Naming_NoInt,4.64
2016,Naming_NoInt,4.77
2016,Naming_NoInt,4.05
2016,Naming_NoInt,6.08
2016,Naming_NoInt,4.96
2017,Naming_NoInt,5.13
2017,Naming_NoInt,5.85
2017,Naming_NoInt,4.55
2017,Naming_NoInt,5.46
2017,Naming_NoInt,5.83
2017,Naming_NoInt,4.96
2017,Naming_NoInt,4.26
2017,Naming_NoInt,4.87
2017,Naming_NoInt,6.29
2017,Naming_NoInt,4.58
2017,Naming_NoInt,5.45
2017,Naming_NoInt,6.22
2017,Naming_NoInt,5.23
2017,Naming_NoInt,5.41
2017,Naming_NoInt,5.79
2017,Naming_NoInt,5.75
2017,Naming_NoInt,6
2017,Naming_NoInt,4.98
2017,Naming_NoInt,5.18
2017,Naming_NoInt,7.1
2017,Naming_NoInt,6.23
2017,Naming_NoInt,5.62
2017,Naming_NoInt,4.03
2017,Naming_NoInt,6.02
2017,Naming_NoInt,6.89
2017,Naming_NoInt,6.3
2017,Naming_NoInt,8.2
2017,Naming_NoInt,7.2
2017,Naming_NoInt,5.4
2017,Naming_NoInt,7.4
2017,Naming_NoInt,5.69
2017,Naming_NoInt,8.2
2017,Naming_NoInt,4.7
2017,Naming_NoInt,5.45
2018,Naming_NoInt,5.15
2018,Naming_NoInt,5.47
2018,Naming_NoInt,4.75
2018,Naming_NoInt,7
2018,Naming_NoInt,5.2
2018,Naming_NoInt,5.7
2018,Naming_NoInt,4.9
2018,Naming_NoInt,5.4
2018,Naming_NoInt,6.48
2018,Naming_NoInt,5.05
2018,Naming_NoInt,4.59
2018,Naming_NoInt,4.93
2018,Naming_NoInt,5
2018,Naming_NoInt,4
2018,Naming_NoInt,5.85
2019,Naming_NoInt,8.37
2019,Naming_NoInt,5.56
2019,Naming_NoInt,7.47
2019,Naming_NoInt,6.56
2019,Naming_NoInt,5.31
2019,Naming_NoInt,6.5
2019,Naming_NoInt,6.49
2019,Naming_NoInt,4.46
2019,Naming_NoInt,4.26
2019,Naming_NoInt,5.48
2019,Naming_NoInt,4.68
2019,Naming_NoInt,11.71
2019,Naming_NoInt,12.56
